,State,Municipality,Crop,Active agricultural production units - Total,Active agricultural production units - With open agriculture,Cultivated area - Sown,Cultivated area - Harvested,Production,Water Modality - Temporary - Production unit,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Production unit,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
6221,09 CDM,011 Tláhuac,Yellow corn,25,25,13.2,12.45,29.2022,24,12.95,12.2,26.7547,1,0.25,0.25,2.4475
6222,09 CDM,011 Tláhuac,White corn,953,953,683.5214,589.9343,1294.1752,891,646.7455,556.2638,1114.2424,63,36.7759,33.6705,179.9328
6249,09 CDM,012 Tlalpan,Forage corn,16,16,33.5006,32.5006,477.4518,16,33.5006,32.5006,477.4518,0,0,0,0
6250,09 CDM,012 Tlalpan,Yellow corn,14,14,16.6251,16.6251,88.8573,14,16.6251,16.6251,88.8573,0,0,0,0
6251,09 CDM,012 Tlalpan,White corn,328,328,305.5999,290.9288,578.1957,326,304.0999,289.4288,568.3657,2,1.5,1.5,9.83
6277,09 CDM,013 Xochimilco,Forage corn,34,34,39.1746,37.5246,386.3733,29,36.3356,36.0356,340.3255,5,2.839,1.489,46.0478
6278,09 CDM,013 Xochimilco,Yellow corn,30,30,21.3804,17.4464,59.2454,25,19.7194,15.7894,46.5781,5,1.661,1.657,12.6673
6279,09 CDM,013 Xochimilco,White corn,517,517,314.9681,293.5395,535.0567,491,309.5843,288.3572,495.0542,26,5.3838,5.1823,40.0025
6350,10 DGO,001 Canatlán,Forage corn,648,648,7274.664,6194.7362,107042.4597,562,6562.313,5556.5172,82325.928,94,712.351,638.219,24716.5317
6351,10 DGO,001 Canatlán,Yellow corn,172,172,1012.8121,806.1305,3184.4798,127,731.72,537.1333,1121.2368,45,281.0921,268.9972,2063.243
6352,10 DGO,001 Canatlán,White corn,1339,1339,8199.3045,6839.7034,18153.9421,1043,6459.5396,5192.4119,5811.0032,314,1739.7649,1647.2915,12342.9389
6372,10 DGO,002 Canelas,White corn,289,289,843.3654,835.1654,996.7287,289,843.3654,835.1654,996.7287,0,0,0,0
6395,10 DGO,003 Coneto de Comonfort,Forage corn,296,296,1977.8205,1860.1908,9098.1736,287,1942.5405,1824.9108,8360.6581,13,35.28,35.28,737.5155
6396,10 DGO,003 Coneto de Comonfort,Yellow corn,55,55,337.6083,308.1159,310.1367,52,326.9983,297.5059,301.1367,5,10.61,10.61,9
6397,10 DGO,003 Coneto de Comonfort,White corn,264,264,1265.7032,968.6811,1173.2726,247,1234.6296,937.6075,935.894,17,31.0736,31.0736,237.3786
6410,10 DGO,004 Cuencamé,Forage corn,204,204,1638.3707,1504.54,23931.9885,198,1615.8707,1482.04,23093.6455,8,22.5,22.5,838.343
6411,10 DGO,004 Cuencamé,Yellow corn,176,176,744.8197,690.8039,820.322,173,742.491,688.4752,802.352,3,2.3287,2.3287,17.97
6412,10 DGO,004 Cuencamé,White corn,807,807,4134.9201,3610.7648,5835.285,773,4027.0001,3502.8448,4997.9171,37,107.92,107.92,837.3679
6434,10 DGO,005 Durango,Forage corn,1150,1150,8146.2712,7785.8175,255830.6154,705,3691.8902,3451.4943,55816.4586,485,4454.381,4334.3232,200014.1568
6435,10 DGO,005 Durango,Yellow corn,240,240,1043.9701,1003.8676,4139.6789,185,603.8276,568.1171,1083.1909,55,440.1425,435.7505,3056.488
6436,10 DGO,005 Durango,White corn,4581,4581,21725.1565,19922.0422,83374.3186,3075,11715.3168,10623.0253,13175.7446,1588,10009.8397,9299.0169,70198.574
6458,10 DGO,006 General Simón Bolívar,Forage corn,241,241,1887.3412,1694.3864,33570.8753,147,1160.9926,980.803,6171.2548,105,726.3486,713.5834,27399.6205
6459,10 DGO,006 General Simón Bolívar,Yellow corn,8,8,29.7232,22.6206,52.4113,4,21.7232,14.6206,14.1313,4,8,8,38.28
6460,10 DGO,006 General Simón Bolívar,White corn,587,587,2731.6489,2536.6854,6477.7108,336,1928.1291,1752.7128,1999.4234,285,803.5198,783.9726,4478.2874
6484,10 DGO,007 Gómez Palacio,Forage corn,971,971,12852.6276,12838.851,568411.3385,8,79.2022,79.2022,2380.0764,963,12773.4254,12759.6488,566031.2621
6485,10 DGO,007 Gómez Palacio,Yellow corn,*,*,253.9612,253.9612,1499.0515,*,0,0,0,*,253.9612,253.9612,1499.0515
6486,10 DGO,007 Gómez Palacio,White corn,*,*,9.1982,8.9452,25.4727,*,4.9371,4.7074,4.8486,*,4.2611,4.2378,20.6241
6506,10 DGO,008 Guadalupe Victoria,Forage corn,190,190,3664.5572,3623.5385,127319.7756,93,1614.4415,1581.5486,29299.4666,102,2050.1157,2041.9899,98020.309
6507,10 DGO,008 Guadalupe Victoria,Yellow corn,52,52,355.8502,352.0486,499.9808,50,350.8502,347.0486,472.3108,2,5,5,27.67
6508,10 DGO,008 Guadalupe Victoria,White corn,182,182,1206.6385,1196.9707,4829.7725,164,913.7622,904.3592,2860.2929,18,292.8763,292.6115,1969.4796
6522,10 DGO,009 Guanaceví,Forage corn,146,146,594.1286,572.591,11089.9079,136,494.4286,477.891,7636.7509,12,99.7,94.7,3453.157
6523,10 DGO,009 Guanaceví,Yellow corn,*,*,2,2,5.05,*,2,2,5.05,*,0,0,0
6524,10 DGO,009 Guanaceví,White corn,215,215,724.8915,720.8915,807.813,213,716.3915,712.3915,737.313,2,8.5,8.5,70.5
6536,10 DGO,010 Hidalgo,Forage corn,257,257,2228.462,1870.1722,33241.3016,251,2204.8791,1849.2901,32297.2219,6,23.5829,20.8821,944.0797
6537,10 DGO,010 Hidalgo,Yellow corn,25,25,184.21,169.71,316.4023,25,184.21,169.71,316.4023,0,0,0,0
6538,10 DGO,010 Hidalgo,White corn,103,103,636.0521,557.6915,599.0164,101,630.5521,553.1915,563.6464,2,5.5,4.5,35.37
6557,10 DGO,011 Indé,Forage corn,207,207,2124.524,1879.3478,30525.2777,203,2105.524,1863.3478,29998.8627,6,19,16,526.415
6558,10 DGO,011 Indé,Yellow corn,34,34,215.9959,149.1643,280.0707,33,202.9959,136.1643,215.0707,1,13,13,65
6559,10 DGO,011 Indé,White corn,127,127,1932.0272,1639.3441,1914.668,124,1894.5456,1602.2402,1644.6113,4,37.4816,37.1039,270.0567
6578,10 DGO,012 Lerdo,Forage corn,662,662,6137.1099,6053.758,277738.1784,25,499.1542,499.0384,9819.7866,638,5637.9557,5554.7196,267918.3918
6579,10 DGO,012 Lerdo,Yellow corn,*,*,3.5,3.5,6,*,0,0,0,*,3.5,3.5,6
6580,10 DGO,012 Lerdo,White corn,130,130,522.8871,517.353,3318.663,21,123.4615,117.9274,190.9854,109,399.4256,399.4256,3127.6776
6599,10 DGO,013 Mapimí,Forage corn,208,208,1591.3501,1556.9476,62366.6288,44,192.861,159.687,2682.0534,165,1398.4891,1397.2606,59684.5754
6600,10 DGO,013 Mapimí,Yellow corn,6,6,19.38,19,109.26,6,19.38,19,109.26,0,0,0,0
6601,10 DGO,013 Mapimí,White corn,268,268,1780.5626,864.3044,1125.1858,240,1756.1626,840.9044,994.8758,28,24.4,23.4,130.31
6619,10 DGO,014 Mezquital,Forage corn,219,219,489.3214,481.5541,7007.9076,196,390.5714,382.8041,2727.7801,24,98.75,98.75,4280.1275
6620,10 DGO,014 Mezquital,Yellow corn,58,58,124.75,124.75,153.735,57,122.75,122.75,141.955,1,2,2,11.78
6621,10 DGO,014 Mezquital,White corn,2152,2152,3334.5907,3101.6811,2963.6641,2104,3246.465,3013.5554,2446.7218,49,88.1257,88.1257,516.9423
6649,10 DGO,015 Nazas,Forage corn,71,71,1138.1456,1048.9002,42130.8394,29,136.8093,101.1808,1488.1983,45,1001.3363,947.7194,40642.6411
6650,10 DGO,015 Nazas,Yellow corn,7,7,20.0736,15.7201,36.8037,5,16.0736,11.7201,13.2437,2,4,4,23.56
6651,10 DGO,015 Nazas,White corn,306,306,862.5535,623.1335,1307.6774,168,627.4,449.66,460.6191,149,235.1535,173.4735,847.0583
6678,10 DGO,016 Nombre de Dios,Forage corn,233,233,1301.0217,1164.3036,38388.3351,138,668.4534,555.2353,10090.4283,105,632.5683,609.0683,28297.9068
6679,10 DGO,016 Nombre de Dios,Yellow corn,16,16,63.4244,63.4244,434.323,4,11.5,11.5,19.17,12,51.9244,51.9244,415.153
6680,10 DGO,016 Nombre de Dios,White corn,862,862,3321.5207,3245.9816,18992.7694,317,924.0226,867.9835,1513.1456,580,2397.4981,2377.9981,17479.6238
6701,10 DGO,017 Ocampo,Forage corn,325,325,1992.3789,1674.3793,27012.8925,279,1756.5689,1472.2693,19076.7935,62,235.81,202.11,7936.099
6702,10 DGO,017 Ocampo,Yellow corn,82,82,601.5,480.99,1280.4688,81,589,468.49,1211.7338,4,12.5,12.5,68.735
6703,10 DGO,017 Ocampo,White corn,230,230,1459.1526,1337.95,3356.3873,180,1240.0413,1134.1934,2014.6328,56,219.1113,203.7566,1341.7545
6721,10 DGO,018 El Oro,Forage corn,356,356,2429.6523,2120.9591,27969.8036,325,2331.7323,2023.0391,24537.9539,39,97.92,97.92,3431.8497
6722,10 DGO,018 El Oro,Yellow corn,4,4,18.75,15.75,61.39,4,18.75,15.75,61.39,0,0,0,0
6723,10 DGO,018 El Oro,White corn,297,297,2718.469,2575.2014,2979.4148,282,2687.4027,2544.1351,2760.0337,17,31.0663,31.0663,219.3811
6737,10 DGO,019 Otáez,Forage corn,20,20,81.4,81.4,1255.292,20,81.4,81.4,1255.292,0,0,0,0
6738,10 DGO,019 Otáez,Yellow corn,*,*,10,10,17.04,*,10,10,17.04,*,0,0,0
6739,10 DGO,019 Otáez,White corn,694,694,1504.5005,1456.0005,2135.4557,693,1502.5005,1454.0005,2133.4557,1,2,2,2
6765,10 DGO,020 Pánuco de Coronado,Forage corn,239,239,2171.8234,2138.6507,56983.6228,217,1592.4038,1559.2311,29108.8902,24,579.4196,579.4196,27874.7326
6766,10 DGO,020 Pánuco de Coronado,Yellow corn,51,51,650.3862,602.4662,2699.1038,41,287.0125,239.0925,291.4096,10,363.3737,363.3737,2407.6942
6767,10 DGO,020 Pánuco de Coronado,White corn,623,623,2893.3009,2746.0809,5538.0437,573,2548.777,2401.557,2883.9754,52,344.5239,344.5239,2654.0683
6790,10 DGO,021 Peñón Blanco,Forage corn,64,64,893.9115,875.9115,20841.0069,50,679.025,661.025,11026.1202,16,214.8865,214.8865,9814.8867
6791,10 DGO,021 Peñón Blanco,Yellow corn,57,57,304.4941,302.4818,588.1229,44,259.68,257.68,244.9865,15,44.8141,44.8018,343.1364
6792,10 DGO,021 Peñón Blanco,White corn,289,289,1446.7669,1351.245,1671.8773,222,1353.0588,1269.0549,1478.6992,94,93.7081,82.1901,193.1781
6813,10 DGO,022 Poanas,Forage corn,250,250,1179.7937,1158.1391,46869.952,81,241.1187,224.3141,2689.1114,179,938.675,933.825,44180.8406
6814,10 DGO,022 Poanas,Yellow corn,28,28,82.8188,82.5365,522.4517,3,3.4288,3.4251,6.6104,25,79.39,79.1114,515.8413
6815,10 DGO,022 Poanas,White corn,1694,1694,5557.7084,5532.9576,33705.3995,566,1385.7931,1374.364,1985.436,1184,4171.9153,4158.5936,31719.9635
6834,10 DGO,023 Pueblo Nuevo,Forage corn,97,97,224.315,214.795,1123.9206,97,224.315,214.795,1123.9206,0,0,0,0
6835,10 DGO,023 Pueblo Nuevo,Yellow corn,83,83,148.0167,144.9159,202.5703,83,148.0167,144.9159,202.5703,0,0,0,0
6836,10 DGO,023 Pueblo Nuevo,White corn,2523,2523,6013.9896,5863.156,6318.6047,2521,6009.6378,5858.8354,6306.2248,2,4.3518,4.3206,12.3799
6863,10 DGO,024 Rodeo,Forage corn,659,659,2343.5695,2211.2822,52618.6485,404,1803.9511,1679.4138,29774.7668,284,539.6184,531.8684,22843.8817
6864,10 DGO,024 Rodeo,Yellow corn,81,81,274.7457,251.3902,967.9528,35,116.6367,98.4263,133.2324,47,158.109,152.9639,834.7204
6865,10 DGO,024 Rodeo,White corn,331,331,865.7961,726.2055,2509.4914,149,470.5832,359.2555,485.8923,194,395.2129,366.95,2023.5991
6888,10 DGO,025 San Bernardo,Forage corn,258,258,1407.2151,1329.7424,20407.1495,240,1223.4151,1145.9424,12764.6676,31,183.8,183.8,7642.4819
6889,10 DGO,025 San Bernardo,Yellow corn,11,11,41.83,41.33,81.8884,9,29.83,29.33,31.7181,2,12,12,50.1703
6890,10 DGO,025 San Bernardo,White corn,354,354,2159.4577,2106.5168,3012.9851,322,1999.8114,1950.9163,1940.8294,38,159.6463,155.6005,1072.1557
6908,10 DGO,026 San Dimas,Forage corn,30,30,143.2609,142.7609,1967.6101,30,143.2609,142.7609,1967.6101,0,0,0,0
6909,10 DGO,026 San Dimas,Yellow corn,54,54,204.19,189.14,474.8807,54,204.19,189.14,474.8807,0,0,0,0
6910,10 DGO,026 San Dimas,White corn,1558,1558,3986.3899,3869.7538,3759.3332,1557,3983.7748,3867.1825,3745.9828,2,2.6151,2.5713,13.3504
6933,10 DGO,027 San Juan de Guadalupe,Forage corn,22,22,64.09,55.79,1352.3879,14,41.5,33.2,417.9,8,22.59,22.59,934.4879
6934,10 DGO,027 San Juan de Guadalupe,Yellow corn,*,*,6.5,2.0015,0.1016,*,6.5,2.0015,0.1016,*,0,0,0
6935,10 DGO,027 San Juan de Guadalupe,White corn,892,892,3574.213,2501.1843,3457.1647,787,3314.8354,2303.0213,2155.6958,109,259.3776,198.163,1301.4689
6961,10 DGO,028 San Juan del Río,Forage corn,473,473,2601.625,2408.1961,37907.8435,451,2489.7899,2297.3246,34015.4053,30,111.8351,110.8715,3892.4382
6962,10 DGO,028 San Juan del Río,Yellow corn,119,119,685.81,488.537,1089.2949,110,653.82,458.047,1008.8333,13,31.99,30.49,80.4616
6963,10 DGO,028 San Juan del Río,White corn,585,585,2766.4547,2231.766,3550.2287,521,2560.0666,2040.9347,2767.3774,99,206.3881,190.8313,782.8513
6984,10 DGO,029 San Luis del Cordero,Forage corn,80,80,910.4323,910.4323,16537.6671,80,910.4323,910.4323,16537.6671,0,0,0,0
6985,10 DGO,029 San Luis del Cordero,White corn,106,106,504.0599,419.3121,400.4837,105,503.0599,418.3121,392.6237,1,1,1,7.86
7001,10 DGO,030 San Pedro del Gallo,Forage corn,74,74,626.2866,464.135,8487.1503,72,618.2266,456.1584,8126.5282,2,8.06,7.9766,360.6221
7002,10 DGO,030 San Pedro del Gallo,Yellow corn,*,*,1,1,1.4,*,1,1,1.4,*,0,0,0
7003,10 DGO,030 San Pedro del Gallo,White corn,104,104,803.0788,621.0141,674.6485,103,800.3288,618.3275,653.5318,1,2.75,2.6866,21.1167
7026,10 DGO,031 Santa Clara,Forage corn,212,212,1081.89,1061.56,15545.9997,179,923.59,905.26,8925.3405,34,158.3,156.3,6620.6592
7027,10 DGO,031 Santa Clara,Yellow corn,7,7,14.7296,14.6588,51.8461,2,3.7132,3.6781,1.0923,5,11.0164,10.9807,50.7538
7028,10 DGO,031 Santa Clara,White corn,369,369,1493.9266,1382.3424,3242.0566,293,1247.5769,1152.3027,2110.4613,86,246.3497,230.0397,1131.5953
7047,10 DGO,032 Santiago Papasquiaro,Forage corn,738,738,5275.9394,5070.9936,86339.566,628,4513.6017,4321.6183,55255.2611,129,762.3377,749.3753,31084.3049
7048,10 DGO,032 Santiago Papasquiaro,Yellow corn,96,96,1043.159,988.0888,6922.1336,65,362.339,329.2688,704.1188,35,680.82,658.82,6218.0148
7049,10 DGO,032 Santiago Papasquiaro,White corn,1283,1283,6357.1204,6052.4179,15241.1041,1167,5608.6863,5317.415,9816.0807,139,748.4341,735.0029,5425.0234
7069,10 DGO,033 Súchil,Forage corn,38,38,153.0143,153.0143,2767.6917,33,128.9143,128.9143,1692.8865,8,24.1,24.1,1074.8052
7070,10 DGO,033 Súchil,Yellow corn,129,129,398.5031,397.9296,1189.0643,79,262.1461,261.5726,291.8617,53,136.357,136.357,897.2026
7071,10 DGO,033 Súchil,White corn,656,656,2001.9395,1967.9475,3538.7307,534,1713.3641,1683.4721,2142.9685,134,288.5754,284.4754,1395.7622
7091,10 DGO,034 Tamazula,Forage corn,3,3,6,6,92.8,3,6,6,92.8,0,0,0,0
7092,10 DGO,034 Tamazula,Yellow corn,24,24,58,58,79.525,24,58,58,79.525,0,0,0,0
7093,10 DGO,034 Tamazula,White corn,1838,1838,3696.443,3568.4928,3865.8398,1813,3645.693,3517.7428,3784.4598,25,50.75,50.75,81.38
7121,10 DGO,035 Tepehuanes,Forage corn,495,495,1626.62,1576.87,20766.5232,475,1524.6,1478.85,16607.604,24,102.02,98.02,4158.9192
7122,10 DGO,035 Tepehuanes,Yellow corn,21,21,60.6,57.6,95.405,21,60.6,57.6,95.405,0,0,0,0
7123,10 DGO,035 Tepehuanes,White corn,219,219,691.4107,679.7231,1743.2829,213,663.1632,651.4756,1524.1174,6,28.2475,28.2475,219.1655
7147,10 DGO,036 Tlahualilo,Forage corn,170,170,1050.7657,1029.2718,44130.2454,0,0,0,0,170,1050.7657,1029.2718,44130.2454
7148,10 DGO,036 Tlahualilo,White corn,*,*,9.5,9.5,27.9343,*,0,0,0,*,9.5,9.5,27.9343
7165,10 DGO,037 Topia,Forage corn,37,37,91.5,91.5,1500.98,37,91.5,91.5,1500.98,0,0,0,0
7166,10 DGO,037 Topia,Yellow corn,11,11,22.05,22.05,22.7,11,22.05,22.05,22.7,0,0,0,0
7167,10 DGO,037 Topia,White corn,154,154,473.8817,471.8817,650.7971,154,473.8817,471.8817,650.7971,0,0,0,0
7196,10 DGO,038 Vicente Guerrero,Forage corn,35,35,182.8585,182.8585,6287.0116,8,64.8601,64.8601,1164.2924,27,117.9984,117.9984,5122.7192
7197,10 DGO,038 Vicente Guerrero,Yellow corn,37,37,88.9127,88.8121,386.2671,13,29.1248,29.1248,33.281,24,59.7879,59.6873,352.9861
7198,10 DGO,038 Vicente Guerrero,White corn,609,609,1863.3757,1850.4531,6198.4539,410,1110.7086,1099.8678,1216.8044,207,752.6671,750.5853,4981.6495
7220,10 DGO,039 Nuevo Ideal,Forage corn,969,969,7631.3356,7419.3545,201708.3229,657,4363.1939,4177.2356,57431.9495,330,3268.1417,3242.1189,144276.3734
7221,10 DGO,039 Nuevo Ideal,Yellow corn,284,284,3076.9144,3036.812,21814.5907,117,893.3685,861.2849,2271.2581,171,2183.5459,2175.5271,19543.3326
7222,10 DGO,039 Nuevo Ideal,White corn,762,762,5285.3899,5143.0603,16443.944,598,3792.594,3657.2107,4605.9408,179,1492.7959,1485.8496,11838.0032
7284,11 GTO,001 Abasolo,Forage corn,119,119,346.0917,326.0959,14255.3336,65,169.2696,156.4426,3412.69,56,176.8221,169.6533,10842.6436
7285,11 GTO,001 Abasolo,Yellow corn,59,59,282.7125,279.6807,2720.6567,16,22.8882,20.2567,108.5649,44,259.8243,259.424,2612.0918
7286,11 GTO,001 Abasolo,White corn,3437,3437,16896.1818,16312.4584,133642.3808,1520,4608.2735,4105.1587,13882.0514,1992,12287.9083,12207.2997,119760.3294
7310,11 GTO,002 Acámbaro,Forage corn,70,70,211.8564,208.8564,7446.3625,45,152.8015,149.8015,3866.738,25,59.0549,59.0549,3579.6245
7311,11 GTO,002 Acámbaro,Yellow corn,30,30,111.64,110.4944,699.3288,14,60.3211,60.0631,209.2401,16,51.3189,50.4313,490.0887
7312,11 GTO,002 Acámbaro,White corn,5984,5984,28173.2621,27614.6047,189806.318,3077,12285.811,11759.5808,30583.4694,3277,15887.4511,15855.0239,159222.8486
7339,11 GTO,003 San Miguel de Allende,Forage corn,230,230,2063.0037,1873.1573,77563.2424,205,1155.3062,966.4598,18422.2992,25,907.6975,906.6975,59140.9432
7340,11 GTO,003 San Miguel de Allende,Yellow corn,19,19,104.4775,104.3066,315.275,19,104.4775,104.3066,315.275,0,0,0,0
7341,11 GTO,003 San Miguel de Allende,White corn,4772,4772,21176.3662,14951.7444,18134.2874,4683,20192.989,14010.6853,9546.8203,103,983.3772,941.0591,8587.4671
7366,11 GTO,004 Apaseo el Alto,Forage corn,53,53,240.18,120.14,1761.5374,49,227.62,108.58,1018.345,5,12.56,11.56,743.1924
7367,11 GTO,004 Apaseo el Alto,Yellow corn,37,37,173.87,58.75,225.656,33,160.87,45.75,95.786,5,13,13,129.87
7368,11 GTO,004 Apaseo el Alto,White corn,1721,1721,7054.6306,3392.293,10429.2076,1561,6249.1234,2656.0078,3570.0558,190,805.5072,736.2852,6859.1518
7395,11 GTO,005 Apaseo el Grande,Forage corn,39,39,576.0544,545.7577,31113.2748,25,106.3044,76.7577,2187.5948,15,469.75,469,28925.68
7396,11 GTO,005 Apaseo el Grande,Yellow corn,5,5,8.9379,5.5954,30.119,3,4.9379,3.5954,10.139,2,4,2,19.98
7397,11 GTO,005 Apaseo el Grande,White corn,1943,1943,7572.6907,4023.8003,18944.5141,1629,5982.9922,2500.7551,4494.308,328,1589.6985,1523.0452,14450.2061
7420,11 GTO,006 Atarjea,Forage corn,7,7,9.5,9.5,69.2,7,9.5,9.5,69.2,0,0,0,0
7421,11 GTO,006 Atarjea,Yellow corn,15,15,20.78,15.6,3.5,14,19.78,14.6,3.3,1,1,1,0.2
7422,11 GTO,006 Atarjea,White corn,846,846,1303.5753,1194.6236,738.9173,802,1261.5503,1153.0986,698.8473,48,42.025,41.525,40.07
7450,11 GTO,007 Celaya,Forage corn,197,197,595.465,486.575,20615.5222,98,306.465,198.575,3857.8375,103,289,288,16757.6847
7451,11 GTO,007 Celaya,Yellow corn,124,124,530.1805,501.8788,4599.6177,31,104.4504,78.1246,290.3368,93,425.7301,423.7542,4309.2809
7452,11 GTO,007 Celaya,White corn,2195,2195,7776.1702,6610.1985,44385.6673,1254,3772.1693,2652.4214,5886.3018,977,4004.0009,3957.7771,38499.3655
7479,11 GTO,008 Manuel Doblado,Forage corn,131,131,979.443,643.8579,27060.0186,111,725.4424,396.3679,11063.2365,23,254.0006,247.49,15996.7821
7480,11 GTO,008 Manuel Doblado,Yellow corn,74,74,326.7253,275.7332,1862.3937,58,216.1773,168.4932,692.3454,17,110.548,107.24,1170.0483
7481,11 GTO,008 Manuel Doblado,White corn,1831,1831,11609.2767,10510.5154,73142.1438,1294,6162.2264,5323.5823,22136.0247,652,5447.0503,5186.9331,51006.1191
7507,11 GTO,009 Comonfort,Forage corn,46,46,222.4599,181.0796,5120.284,44,213.9599,172.5796,4573.819,2,8.5,8.5,546.465
7508,11 GTO,009 Comonfort,Yellow corn,7,7,63.1438,41.5696,195.7363,6,52.1438,30.5696,85.8463,1,11,11,109.89
7509,11 GTO,009 Comonfort,White corn,2741,2741,10438.9552,8597.3839,16180.2228,2562,9680.3014,7839.7005,8581.3207,206,758.6538,757.6834,7598.9021
7530,11 GTO,010 Coroneo,Forage corn,34,34,64.785,64.785,540.985,29,49.75,49.75,111.7,10,15.035,15.035,429.285
7531,11 GTO,010 Coroneo,Yellow corn,26,26,64.7525,64.625,161.315,26,64.7525,64.625,161.315,0,0,0,0
7532,11 GTO,010 Coroneo,White corn,867,867,1795.5707,1616.5836,2960.6072,792,1612.6085,1442.7627,2071.7679,91,182.9622,173.8209,888.8393
7552,11 GTO,011 Cortazar,Forage corn,12,12,58.38,55.38,3061.7351,6,16.69,13.69,381.485,6,41.69,41.69,2680.2501
7553,11 GTO,011 Cortazar,Yellow corn,5,5,15.71,15.71,86.9529,2,9,9,19.92,3,6.71,6.71,67.0329
7554,11 GTO,011 Cortazar,White corn,1151,1151,5946.5331,5383.7016,37523.8374,593,2664.8131,2142.0221,5397.4487,569,3281.72,3241.6795,32126.3887
7572,11 GTO,012 Cuerámaro,Forage corn,28,28,96.44,79.72,3484.92,16,61.44,44.72,1234.77,13,35,35,2250.15
7573,11 GTO,012 Cuerámaro,Yellow corn,20,20,67.74,61.99,530.878,10,24.38,18.63,62.5516,10,43.36,43.36,468.3264
7574,11 GTO,012 Cuerámaro,White corn,1303,1303,6396.0134,6072.2842,42475.6696,822,2826.8456,2544.829,8850.0906,517,3569.1678,3527.4552,33625.579
7599,11 GTO,013 Doctor Mora,Forage corn,61,61,1486.9741,1374.6845,80889.7504,20,253.7255,143.5435,1960.0748,41,1233.2486,1231.141,78929.6756
7600,11 GTO,013 Doctor Mora,Yellow corn,*,*,9.32,4.32,0.45,*,6,1,0.4,*,3.32,3.32,0.05
7601,11 GTO,013 Doctor Mora,White corn,1407,1407,4305.4338,4067.0724,6973.0796,1377,3950.6993,3712.3379,2735.1896,37,354.7345,354.7345,4237.89
7619,11 GTO,014 Dolores Hidalgo Cuna de la Independencia Nacional,Forage corn,128,128,866.99,733.3107,26109.9701,85,524.6,396.3007,7914.1257,44,342.39,337.01,18195.8444
7620,11 GTO,014 Dolores Hidalgo Cuna de la Independencia Nacional,Yellow corn,21,21,132.2218,93.2395,177.5343,19,97.9918,59.0095,107.3043,2,34.23,34.23,70.23
7621,11 GTO,014 Dolores Hidalgo Cuna de la Independencia Nacional,White corn,4193,4193,19393.2887,10483.0855,31137.337,3849,16254.0868,7651.5255,7474.7728,403,3139.2019,2831.56,23662.5642
7651,11 GTO,015 Guanajuato,Forage corn,119,119,298.4539,234.5162,3855.119,118,295.9539,232.0162,3694.394,2,2.5,2.5,160.725
7652,11 GTO,015 Guanajuato,Yellow corn,*,*,9,0,0,*,9,0,0,*,0,0,0
7653,11 GTO,015 Guanajuato,White corn,1121,1121,3675.2302,3040.9779,3922.263,1052,3546.0916,2915.2793,2800.515,71,129.1386,125.6986,1121.748
7677,11 GTO,016 Huanímaro,Forage corn,163,163,608.5308,577.4888,32439.1457,32,112.2501,112.2501,2659.5357,131,496.2807,465.2387,29779.61
7678,11 GTO,016 Huanímaro,Yellow corn,21,21,66.98,66.9623,674.292,4,14.24,14.24,91.8916,19,52.74,52.7223,582.4004
7679,11 GTO,016 Huanímaro,White corn,1212,1212,3806.8811,3769.6062,27103.3211,500,1307.4387,1288.0398,2807.844,748,2499.4424,2481.5664,24295.4771
7703,11 GTO,017 Irapuato,Forage corn,167,167,930.6926,913.4781,50045.4757,57,225.8107,221.3977,5781.3096,111,704.8819,692.0804,44264.1661
7704,11 GTO,017 Irapuato,Yellow corn,275,275,968.0609,948.9223,8398.5925,61,224.7581,212.683,912.7462,219,743.3028,736.2393,7485.8463
7705,11 GTO,017 Irapuato,White corn,5496,5496,20157.1175,19133.063,117300.4819,3158,9797.1003,8920.6483,19680.0366,2483,10360.0172,10212.4147,97620.4453
7731,11 GTO,018 Jaral del Progreso,Forage corn,6,6,9.4493,7.2023,399.2618,3,4.0289,1.7819,50.7843,3,5.4204,5.4204,348.4775
7732,11 GTO,018 Jaral del Progreso,Yellow corn,6,6,60.4726,60.4724,645.3805,0,0,0,0,6,60.4726,60.4724,645.3805
7733,11 GTO,018 Jaral del Progreso,White corn,1468,1468,7870.6056,7695.5945,78449.6641,376,622.8401,460.8531,1007.9974,1184,7247.7655,7234.7414,77441.6667
7755,11 GTO,019 Jerécuaro,Forage corn,133,133,524.2971,468.1033,8125.7944,128,511.8121,456.1183,7803.4537,6,12.485,11.985,322.3407
7756,11 GTO,019 Jerécuaro,Yellow corn,86,86,370.1634,185.5986,646.6901,70,339.3134,161.3486,413.9001,16,30.85,24.25,232.79
7757,11 GTO,019 Jerécuaro,White corn,5366,5366,19647.3029,11683.3726,26410.3441,5048,18180.6079,10308.3732,14908.8298,423,1466.695,1374.9994,11501.5143
7784,11 GTO,020 León,Forage corn,224,224,1363.6779,1237.1757,54640.1544,170,757.6979,634.2079,14522.514,59,605.98,602.9678,40117.6404
7785,11 GTO,020 León,Yellow corn,44,44,201.045,141.8694,1025.2441,24,89.68,57.61,178.7702,20,111.365,84.2594,846.4739
